date,book,chapter_slug,word_count,sources_count,verify_flag_count,pantry_notes_found,pantry_lib_files_used,thin_pantry,mechanism_explained,contested_claims_flagged
2026-05-21,github-copilot-cli-for-students,01-introduction-cautious-builder,2688,1,0,yes,0,no,"Seth's friend's silent-failure story: exit 0 ≠ correctness; the terminal differs from the editor because there is no undo and errors are silent more often",0
2026-05-21,github-copilot-cli-for-students,02-silent-failure,3852,4,0,yes,0,no,"Four shapes of silent failure (wrong scope, wrong target, wrong timing, wrong meaning); Bastani/Kosmyna/Anthropic empirical triplet; the fluency trap explains why the feeling of mastery diverges from skill formation",0
2026-05-21,github-copilot-cli-for-students,03-pattern-vs-scope-judgment,3598,1,0,yes,0,no,"The CLI is superhuman at pattern completion (syntax, idiom, recall, translation) and structurally blind to scope judgment (filesystem, git history, intent, consequence horizon) because the information is not in the prompt",0
2026-05-21,github-copilot-cli-for-students,04-terminal-gap,2739,2,0,yes,0,no,"The terminal gap is structural — curriculum cycles (5-7 years) lag tool cycles (1-2 years); technical fluency without terminal judgment is the specific danger zone for the technically fluent student",0
2026-05-21,github-copilot-cli-for-students,05-conducting-not-running,2768,1,0,yes,0,no,"The suggest → explain → verify gate; conducting is bounded rationality (Simon) applied to terminal AI — the tool extends pattern completion; the gate preserves supervisory capacity",0
2026-05-21,github-copilot-cli-for-students,06-five-supervisory-capacities,2909,1,0,yes,0,no,"Five named supervisory capacities (PA plausibility auditing, PF problem formulation, TO tool orchestration, IJ interpretive judgment, EI executive integration) decompose the human work that is structurally irreducible at the terminal",1
2026-05-21,github-copilot-cli-for-students,07-cli-md,2817,1,0,yes,0,no,"CLI.md is the four-section persistent context (project overview, environment, command conventions, lessons learned); manual paste is the feature, not limitation — it forces TO exercise on every invocation, unlike auto-loaded files in other agentic tools",0
2026-05-21,github-copilot-cli-for-students,08-problem-formulation,2643,2,0,yes,0,no,"Upstream problem formulation (three one-sentence questions: what does it do; what touches; what never touches) before any suggest invocation; gh copilot ask as the interrogation tool",0
2026-05-21,github-copilot-cli-for-students,09-specifications,1622,2,0,yes,0,no,"The five-element specification format (operation, scope, exclusions, output format, negative constraint) replaces vague prompts with prompts the CLI cannot reasonably misinterpret",0
2026-05-21,github-copilot-cli-for-students,10-handoff-conditions-dangerous-middle,2482,2,0,yes,0,no,"Handoff conditions are specific/testable/binary checks between build steps; the dangerous middle (output passes every condition you wrote and is still wrong because the condition you needed was one you didn't think to write) is caught only by plausibility auditing",1
2026-05-21,github-copilot-cli-for-students,11-creative-builds,2504,1,0,yes,0,no,"The fluency trap applied to creative terminal output (voice drift, structural defaults, stance avoidance); a CLI.md creative section makes aesthetic decisions explicit so the CLI's defaults don't replace the practitioner's voice",0
2026-05-21,github-copilot-cli-for-students,12-planning-first-build,2548,1,0,yes,0,no,"The six-step planning sequence (ask interrogation, formulation, CLI.md, plan, review, first suggest) front-loads the discipline so the build executes against artifacts that have been reviewed before commands run",0
2026-05-21,github-copilot-cli-for-students,13-running-the-build,2429,1,0,yes,0,no,"The per-step loop (paste, suggest, explain, verify, execute, handoff, PA, log); the three pivotal moments — handoff failure → revert; scope creep → log and decline; PA → trust the off-feeling",1
2026-05-21,github-copilot-cli-for-students,14-verification,2381,1,0,yes,0,no,"The three-pass verification (mechanical, scope, intent) catches failures in cumulative order; the post-build learning document consolidates lessons into a one-page artifact that travels to the next build",0
2026-05-21,github-copilot-cli-for-students,15-first-full-build,1696,1,0,yes,0,no,"The capstone build: applying the full conducting discipline to a real shell project end-to-end produces a step-change in practitioner capacity that reading alone does not",0
